Company Name,Ticker,Type,Stock Sector ,Industry Name ,Exchange ,FreeTrade,AJ Bell,Income Statement Investing,Balance Sheet Investing,Cash Flow Investing,Dividends Investing,Ratios Investing,Income Statement MorningStar,Balance Sheet MorningStar,Cash Flow MorningStar,Dividends MorningStar,Ratios MorningStar
Access Intelligence PLC,ACC,Stock,Technology,Software - Application,LSE,No,Yes,https://uk.investing.com/equities/access-intelligence-income-statement,https://uk.investing.com/equities/access-intelligence-balance-sheet,https://uk.investing.com/equities/access-intelligence-cash-flow,https://uk.investing.com/equities/access-intelligence-dividends,https://uk.investing.com/equities/access-intelligence-ratios,,,,,
Accesso Technology Group PLC,ACSO,Stock,Technology,Software - Application,LSE,No,Yes,https://uk.investing.com/equities/accesso-technology-income-statement,https://uk.investing.com/equities/accesso-technology-balance-sheet,https://uk.investing.com/equities/accesso-technology-cash-flow,https://uk.investing.com/equities/accesso-technology-dividends,https://uk.investing.com/equities/accesso-technology-ratios,,,,,
Accrol Group Holdings PLC,ACRL,Stock,Consumer Defensive,Household & Personal Products,LSE,No,Yes,https://uk.investing.com/equities/accrol-group-holdings-plc-income-statement,https://uk.investing.com/equities/accrol-group-holdings-plc-balance-sheet,https://uk.investing.com/equities/accrol-group-holdings-plc-cash-flow,https://uk.investing.com/equities/accrol-group-holdings-plc-dividends,https://uk.investing.com/equities/accrol-group-holdings-plc-ratios,,,,,
Accsys Technologies PLC,AXS,Stock,Basic Materials,Lumber & Wood Production,LSE,No,Yes,https://uk.investing.com/equities/accsys-technologies-income-statement,https://uk.investing.com/equities/accsys-technologies-balance-sheet,https://uk.investing.com/equities/accsys-technologies-cash-flow,https://uk.investing.com/equities/accsys-technologies-dividends,https://uk.investing.com/equities/accsys-technologies-ratios,,,,,
Acer Inc GDR,ACID,Stock,Technology,Computer Hardware,LSE,No,Yes,https://uk.investing.com/equities/acer-drc-income-statement,https://uk.investing.com/equities/acer-drc-balance-sheet,https://uk.investing.com/equities/acer-drc-cash-flow,https://uk.investing.com/equities/acer-drc-dividends,https://uk.investing.com/equities/acer-drc-ratios,,,,,
Acer Inc GDR,ACIA,Stock,Technology,Computer Hardware,LSE,No,Yes,,,,,N/A,,,,,
Acron PJSC DR,34NF,Stock,Basic Materials,Agricultural Inputs,LSE,No,Yes,,,,,N/A,,,,,
Acron PJSC GDR,AKRN,Stock,Basic Materials,Agricultural Inputs,LSE,No,Yes,,,,,N/A,,,,,
Active Energy Group PLC,AEG,Stock,Industrials,Pollution & Treatment Controls,LSE,No,Yes,https://uk.investing.com/equities/active-energy-group-plc-income-statement,https://uk.investing.com/equities/active-energy-group-plc-balance-sheet,https://uk.investing.com/equities/active-energy-group-plc-cash-flow,https://uk.investing.com/equities/active-energy-group-plc-dividends,https://uk.investing.com/equities/active-energy-group-plc-ratios,,,,,
Actual Experience PLC,ACT,Stock,Technology,Information Technology Services,LSE,No,Yes,https://uk.investing.com/equities/actual-experience-plc-income-statement,https://uk.investing.com/equities/actual-experience-plc-balance-sheet,https://uk.investing.com/equities/actual-experience-plc-cash-flow,https://uk.investing.com/equities/actual-experience-plc-dividends,https://uk.investing.com/equities/actual-experience-plc-ratios,,,,,
Adept Technology Group PLC,ADT,Stock,Communication Services,Telecom Services,LSE,No,Yes,https://uk.investing.com/equities/adept-telecom-plc-income-statement,https://uk.investing.com/equities/adept-telecom-plc-balance-sheet,https://uk.investing.com/equities/adept-telecom-plc-cash-flow,https://uk.investing.com/equities/adept-telecom-plc-dividends,https://uk.investing.com/equities/adept-telecom-plc-ratios,,,,,
ADES International Holding PLC,ADES,Stock,Energy,Oil & Gas Equipment & Services,LSE,No,Yes,https://uk.investing.com/equities/ades-international-holding-ltd-income-statement,https://uk.investing.com/equities/ades-international-holding-ltd-balance-sheet,https://uk.investing.com/equities/ades-international-holding-ltd-cash-flow,https://uk.investing.com/equities/ades-international-holding-ltd-dividends,https://uk.investing.com/equities/ades-international-holding-ltd-ratios,,,,,
ADM Energy PLC,ADME,Stock,Energy,Oil & Gas E&P,LSE,No,Yes,https://uk.investing.com/equities/mx-oil-income-statement,https://uk.investing.com/equities/mx-oil-balance-sheet,https://uk.investing.com/equities/mx-oil-cash-flow,https://uk.investing.com/equities/mx-oil-dividends,https://uk.investing.com/equities/mx-oil-ratios,,,,,
Admiral Group PLC,ADM,Stock,Financial Services,Insurance - Property & Casualty,LSE,No,Yes,https://uk.investing.com/equities/admiral-group-income-statement,https://uk.investing.com/equities/admiral-group-balance-sheet,https://uk.investing.com/equities/admiral-group-cash-flow,https://uk.investing.com/equities/admiral-group-dividends,https://uk.investing.com/equities/admiral-group-ratios,,,,,
Adriatic Metals PLC Ordinary Shares,ADT1,Stock,Basic Materials,Other Industrial Metals & Mining,LSE,No,Yes,,,,,N/A,,,,,
Advance Energy PLC Ordinary Shares,ADV,Stock,Energy,Oil & Gas E&P,LSE,No,Yes,https://uk.investing.com/equities/clean-energy-brazil-plc-income-statement,https://uk.investing.com/equities/clean-energy-brazil-plc-balance-sheet,https://uk.investing.com/equities/clean-energy-brazil-plc-cash-flow,https://uk.investing.com/equities/clean-energy-brazil-plc-dividends,https://uk.investing.com/equities/clean-energy-brazil-plc-ratios,,,,,
Advanced Medical Solutions Group PLC,AMS,Stock,Healthcare,Medical Instruments & Supplies,LSE,No,Yes,https://uk.investing.com/equities/advanced-medical-solutions-group-income-statement,https://uk.investing.com/equities/advanced-medical-solutions-group-balance-sheet,https://uk.investing.com/equities/advanced-medical-solutions-group-cash-flow,https://uk.investing.com/equities/advanced-medical-solutions-group-dividends,https://uk.investing.com/equities/advanced-medical-solutions-group-ratios,,,,,
Advanced Oncotherapy PLC,AVO,Stock,Healthcare,Medical Devices,LSE,No,Yes,https://uk.investing.com/equities/advanced-oncotherapy-income-statement,https://uk.investing.com/equities/advanced-oncotherapy-balance-sheet,https://uk.investing.com/equities/advanced-oncotherapy-cash-flow,https://uk.investing.com/equities/advanced-oncotherapy-dividends,https://uk.investing.com/equities/advanced-oncotherapy-ratios,,,,,
ADVFN PLC,AFN,Stock,Financial Services,Capital Markets,LSE,No,Yes,https://uk.investing.com/equities/advfn-plc-income-statement,https://uk.investing.com/equities/advfn-plc-balance-sheet,https://uk.investing.com/equities/advfn-plc-cash-flow,https://uk.investing.com/equities/advfn-plc-dividends,https://uk.investing.com/equities/advfn-plc-ratios,,,,,
Aeorema Communications PLC,AEO,Stock,Communication Services,Entertainment,LSE,No,Yes,https://uk.investing.com/equities/aeorema-communications-plc-income-statement,https://uk.investing.com/equities/aeorema-communications-plc-balance-sheet,https://uk.investing.com/equities/aeorema-communications-plc-cash-flow,https://uk.investing.com/equities/aeorema-communications-plc-dividends,https://uk.investing.com/equities/aeorema-communications-plc-ratios,,,,,
AFC Energy PLC,AFEN,Stock,Industrials,Electrical Equipment & Parts,LSE,No,Yes,https://uk.investing.com/equities/afc-energy-plc-income-statement,https://uk.investing.com/equities/afc-energy-plc-balance-sheet,https://uk.investing.com/equities/afc-energy-plc-cash-flow,https://uk.investing.com/equities/afc-energy-plc-dividends,https://uk.investing.com/equities/afc-energy-plc-ratios,,,,,
AFH Financial Group PLC,AFHP,Stock,Financial Services,Asset Management,LSE,No,Yes,https://uk.investing.com/equities/afh-financial-income-statement,https://uk.investing.com/equities/afh-financial-balance-sheet,https://uk.investing.com/equities/afh-financial-cash-flow,https://uk.investing.com/equities/afh-financial-dividends,https://uk.investing.com/equities/afh-financial-ratios,,,,,
AfriTin Mining Ltd Ordinary Shares,ATM,Stock,Basic Materials,Other Industrial Metals & Mining,LSE,No,Yes,https://uk.investing.com/equities/afritin-mining-income-statement,https://uk.investing.com/equities/afritin-mining-balance-sheet,https://uk.investing.com/equities/afritin-mining-cash-flow,https://uk.investing.com/equities/afritin-mining-dividends,https://uk.investing.com/equities/afritin-mining-ratios,,,,,
Aggreko PLC,AGK,Stock,Industrials,Rental & Leasing Services,LSE,No,Yes,https://uk.investing.com/equities/aggreko-income-statement,https://uk.investing.com/equities/aggreko-balance-sheet,https://uk.investing.com/equities/aggreko-cash-flow,https://uk.investing.com/equities/aggreko-dividends,https://uk.investing.com/equities/aggreko-ratios,,,,,
Agriterra Ltd,AGTA,Stock,Consumer Defensive,Farm Products,LSE,No,Yes,https://uk.investing.com/equities/agriterra-ltd-income-statement,https://uk.investing.com/equities/agriterra-ltd-balance-sheet,https://uk.investing.com/equities/agriterra-ltd-cash-flow,https://uk.investing.com/equities/agriterra-ltd-dividends,https://uk.investing.com/equities/agriterra-ltd-ratios,,,,,
Agronomics Ltd,ANIC,Stock,Healthcare,Biotechnology,LSE,No,Yes,https://uk.investing.com/equities/port-erin-biopharma-investments-income-statement,https://uk.investing.com/equities/port-erin-biopharma-investments-balance-sheet,https://uk.investing.com/equities/port-erin-biopharma-investments-cash-flow,https://uk.investing.com/equities/port-erin-biopharma-investments-dividends,https://uk.investing.com/equities/port-erin-biopharma-investments-ratios,,,,,
AIQ Ltd,AIQ,Stock,Technology,Software - Application,LSE,No,Yes,,,,,N/A,,,,,
Air Partner PLC,AIR,Stock,Industrials,Airports & Air Services,LSE,No,Yes,https://uk.investing.com/equities/air-partner-plc-income-statement,https://uk.investing.com/equities/air-partner-plc-balance-sheet,https://uk.investing.com/equities/air-partner-plc-cash-flow,https://uk.investing.com/equities/air-partner-plc-dividends,https://uk.investing.com/equities/air-partner-plc-ratios,,,,,
AIREA PLC,AIEA,Stock,Consumer Cyclical,Textile Manufacturing,LSE,No,Yes,https://uk.investing.com/equities/airea-plc-income-statement,https://uk.investing.com/equities/airea-plc-balance-sheet,https://uk.investing.com/equities/airea-plc-cash-flow,https://uk.investing.com/equities/airea-plc-dividends,https://uk.investing.com/equities/airea-plc-ratios,,,,,
Airtel Africa PLC Ordinary Shares,AAF,Stock,Communication Services,Telecom Services,LSE,No,Yes,https://uk.investing.com/equities/airtel-africa-income-statement,https://uk.investing.com/equities/airtel-africa-balance-sheet,https://uk.investing.com/equities/airtel-africa-cash-flow,https://uk.investing.com/equities/airtel-africa-dividends,https://uk.investing.com/equities/airtel-africa-ratios,,,,,
AJ Bell PLC,AJBA,Stock,Financial Services,Capital Markets,LSE,No,Yes,https://uk.investing.com/equities/aj-bell-income-statement,https://uk.investing.com/equities/aj-bell-balance-sheet,https://uk.investing.com/equities/aj-bell-cash-flow,https://uk.investing.com/equities/aj-bell-dividends,https://uk.investing.com/equities/aj-bell-ratios,,,,,
Alba Mineral Resources PLC,ALBA,Stock,Basic Materials,Other Industrial Metals & Mining,LSE,No,Yes,https://uk.investing.com/equities/alba-mineral-resources-plc-income-statement,https://uk.investing.com/equities/alba-mineral-resources-plc-balance-sheet,https://uk.investing.com/equities/alba-mineral-resources-plc-cash-flow,https://uk.investing.com/equities/alba-mineral-resources-plc-dividends,https://uk.investing.com/equities/alba-mineral-resources-plc-ratios,,,,,
Alexandria Mineral Oils Co ADR,AMOC,Stock,Basic Materials,Specialty Chemicals,LSE,No,Yes,https://uk.investing.com/equities/alx-mineral-oi-income-statement,https://uk.investing.com/equities/alx-mineral-oi-balance-sheet,https://uk.investing.com/equities/alx-mineral-oi-cash-flow,https://uk.investing.com/equities/alx-mineral-oi-dividends,https://uk.investing.com/equities/alx-mineral-oi-ratios,,,,,
Alexandria Mineral Oils Co ADR,,Stock,Basic Materials,Specialty Chemicals,LSE,No,Yes,,,,,N/A,,,,,
Alfa Financial Software Holdings PLC,ALFAAL,Stock,Technology,Software - Application,LSE,No,Yes,https://uk.investing.com/equities/alfa-financial-software-income-statement,https://uk.investing.com/equities/alfa-financial-software-balance-sheet,https://uk.investing.com/equities/alfa-financial-software-cash-flow,https://uk.investing.com/equities/alfa-financial-software-dividends,https://uk.investing.com/equities/alfa-financial-software-ratios,,,,,
Alien Metals Ltd,UFO,Stock,Basic Materials,Silver,LSE,No,Yes,https://uk.investing.com/equities/arian-silver-corp.-income-statement,https://uk.investing.com/equities/arian-silver-corp.-balance-sheet,https://uk.investing.com/equities/arian-silver-corp.-cash-flow,https://uk.investing.com/equities/arian-silver-corp.-dividends,https://uk.investing.com/equities/arian-silver-corp.-ratios,,,,,
Allergy Therapeutics PLC,AGY,Stock,Healthcare,Drug Manufacturers - Specialty & Generic,LSE,No,Yes,https://uk.investing.com/equities/allergy-therapeutics-plc-income-statement,https://uk.investing.com/equities/allergy-therapeutics-plc-balance-sheet,https://uk.investing.com/equities/allergy-therapeutics-plc-cash-flow,https://uk.investing.com/equities/allergy-therapeutics-plc-dividends,https://uk.investing.com/equities/allergy-therapeutics-plc-ratios,,,,,
Alliance Pharma PLC,ALAPH,Stock,Healthcare,Drug Manufacturers - Specialty & Generic,LSE,No,Yes,https://uk.investing.com/equities/alliance-pharma-income-statement,https://uk.investing.com/equities/alliance-pharma-balance-sheet,https://uk.investing.com/equities/alliance-pharma-cash-flow,https://uk.investing.com/equities/alliance-pharma-dividends,https://uk.investing.com/equities/alliance-pharma-ratios,,,,,
Allied Minds PLC,ALML,Stock,Financial Services,Asset Management,LSE,No,Yes,https://uk.investing.com/equities/allied-mind-income-statement,https://uk.investing.com/equities/allied-mind-balance-sheet,https://uk.investing.com/equities/allied-mind-cash-flow,https://uk.investing.com/equities/allied-mind-dividends,https://uk.investing.com/equities/allied-mind-ratios,,,,,
Alpha Financial Markets Consulting PLC Ordinary Shares,AFM,Stock,Industrials,Consulting Services,LSE,No,Yes,https://uk.investing.com/equities/alpha-financial-markets-income-statement,https://uk.investing.com/equities/alpha-financial-markets-balance-sheet,https://uk.investing.com/equities/alpha-financial-markets-cash-flow,https://uk.investing.com/equities/alpha-financial-markets-dividends,https://uk.investing.com/equities/alpha-financial-markets-ratios,,,,,
Alpha FX Group PLC,AFX,Stock,Financial Services,Capital Markets,LSE,No,Yes,https://uk.investing.com/equities/alpha-fx-group-plc-income-statement,https://uk.investing.com/equities/alpha-fx-group-plc-balance-sheet,https://uk.investing.com/equities/alpha-fx-group-plc-cash-flow,https://uk.investing.com/equities/alpha-fx-group-plc-dividends,https://uk.investing.com/equities/alpha-fx-group-plc-ratios,,,,,
Alpha Growth PLC,ALGW,Stock,Financial Services,Asset Management,LSE,No,Yes,https://uk.investing.com/equities/alpha-growth-income-statement,https://uk.investing.com/equities/alpha-growth-balance-sheet,https://uk.investing.com/equities/alpha-growth-cash-flow,https://uk.investing.com/equities/alpha-growth-dividends,https://uk.investing.com/equities/alpha-growth-ratios,,,,,
Altitude Group PLC,ALT,Stock,Technology,Software - Application,LSE,No,Yes,https://uk.investing.com/equities/altitude-group-plc-income-statement,https://uk.investing.com/equities/altitude-group-plc-balance-sheet,https://uk.investing.com/equities/altitude-group-plc-cash-flow,https://uk.investing.com/equities/altitude-group-plc-dividends,https://uk.investing.com/equities/altitude-group-plc-ratios,,,,,
Altus Strategies PLC,ALS,Stock,Basic Materials,Other Industrial Metals & Mining,LSE,No,Yes,https://uk.investing.com/equities/altus-strategies-income-statement,https://uk.investing.com/equities/altus-strategies-balance-sheet,https://uk.investing.com/equities/altus-strategies-cash-flow,https://uk.investing.com/equities/altus-strategies-dividends,https://uk.investing.com/equities/altus-strategies-ratios,,,,,
Altyn PLC,ALTN,Stock,Basic Materials,Gold,LSE,No,Yes,https://uk.investing.com/equities/hambledon-mining-exch-income-statement,https://uk.investing.com/equities/hambledon-mining-exch-balance-sheet,https://uk.investing.com/equities/hambledon-mining-exch-cash-flow,https://uk.investing.com/equities/hambledon-mining-exch-dividends,https://uk.investing.com/equities/hambledon-mining-exch-ratios,,,,,
Alumasc Group PLC,ALU,Stock,Industrials,Building Products & Equipment,LSE,No,Yes,https://uk.investing.com/equities/alumasc-group-plc-income-statement,https://uk.investing.com/equities/alumasc-group-plc-balance-sheet,https://uk.investing.com/equities/alumasc-group-plc-cash-flow,https://uk.investing.com/equities/alumasc-group-plc-dividends,https://uk.investing.com/equities/alumasc-group-plc-ratios,,,,,
Aluminium Bahrain BSC DR,78QZ,Stock,Basic Materials,Aluminum,LSE,No,Yes,,,,,N/A,,,,,
Aluminium Bahrain BSC GDR,ALBH,Stock,Basic Materials,Aluminum,LSE,No,Yes,https://uk.investing.com/equities/aluminium-bahrain-income-statement,https://uk.investing.com/equities/aluminium-bahrain-balance-sheet,https://uk.investing.com/equities/aluminium-bahrain-cash-flow,https://uk.investing.com/equities/aluminium-bahrain-dividends,https://uk.investing.com/equities/aluminium-bahrain-ratios,,,,,
Amer Group Holding Co SAE ADR,87SD,Stock,Real Estate,Real Estate - Development,LSE,No,Yes,,,,,N/A,,,,,
Amer Group Holding Co SAE Shs Sponsored Global Deposit Receipt Repr 200 Shs -144A-,AMGR,Stock,Real Estate,Real Estate - Development,LSE,No,Yes,,,,,N/A,,,,,
Amiad Water Systems Ltd,AFS,Stock,Industrials,Pollution & Treatment Controls,LSE,No,Yes,https://uk.investing.com/equities/amiad-water-systems-income-statement,https://uk.investing.com/equities/amiad-water-systems-balance-sheet,https://uk.investing.com/equities/amiad-water-systems-cash-flow,https://uk.investing.com/equities/amiad-water-systems-dividends,https://uk.investing.com/equities/amiad-water-systems-ratios,,,,,
Amigo Holdings PLC,AMGO,Stock,Financial Services,Credit Services,LSE,Yes,Yes,https://uk.investing.com/equities/amigo-income-statement,https://uk.investing.com/equities/amigo-balance-sheet,https://uk.investing.com/equities/amigo-cash-flow,https://uk.investing.com/equities/amigo-dividends,https://uk.investing.com/equities/amigo-ratios,,,,,
Aminex PLC,AMNX,Stock,Energy,Oil & Gas E&P,LSE,No,Yes,https://uk.investing.com/equities/aminex-plc-income-statement,https://uk.investing.com/equities/aminex-plc-balance-sheet,https://uk.investing.com/equities/aminex-plc-cash-flow,https://uk.investing.com/equities/aminex-plc-dividends,https://uk.investing.com/equities/aminex-plc-ratios,,,,,
Amino Technologies PLC,AMO,Stock,Technology,Communication Equipment,LSE,No,Yes,https://uk.investing.com/equities/amino-technologies-plc-income-statement,https://uk.investing.com/equities/amino-technologies-plc-balance-sheet,https://uk.investing.com/equities/amino-technologies-plc-cash-flow,https://uk.investing.com/equities/amino-technologies-plc-dividends,https://uk.investing.com/equities/amino-technologies-plc-ratios,,,,,
Amryt Pharma PLC,AMYT,Stock,Healthcare,Drug Manufacturers - Specialty & Generic,LSE,No,Yes,https://uk.investing.com/equities/fastnet-oil---gas-plc-income-statement,https://uk.investing.com/equities/fastnet-oil---gas-plc-balance-sheet,https://uk.investing.com/equities/fastnet-oil---gas-plc-cash-flow,https://uk.investing.com/equities/fastnet-oil---gas-plc-dividends,https://uk.investing.com/equities/fastnet-oil---gas-plc-ratios,,,,,
Amur Minerals Corp,AMC,Stock,Basic Materials,Other Industrial Metals & Mining,LSE,No,Yes,https://uk.investing.com/equities/amur-minerals-corp-income-statement,https://uk.investing.com/equities/amur-minerals-corp-balance-sheet,https://uk.investing.com/equities/amur-minerals-corp-cash-flow,https://uk.investing.com/equities/amur-minerals-corp-dividends,https://uk.investing.com/equities/amur-minerals-corp-ratios,,,,,
Andrews Sykes Group PLC,ANSY,Stock,Industrials,Rental & Leasing Services,LSE,No,Yes,https://uk.investing.com/equities/andrews-sykes-group-income-statement,https://uk.investing.com/equities/andrews-sykes-group-balance-sheet,https://uk.investing.com/equities/andrews-sykes-group-cash-flow,https://uk.investing.com/equities/andrews-sykes-group-dividends,https://uk.investing.com/equities/andrews-sykes-group-ratios,,,,,
Anexo Group PLC,ANX,Stock,Industrials,Rental & Leasing Services,LSE,No,Yes,https://uk.investing.com/equities/anexo-group-income-statement,https://uk.investing.com/equities/anexo-group-balance-sheet,https://uk.investing.com/equities/anexo-group-cash-flow,https://uk.investing.com/equities/anexo-group-dividends,https://uk.investing.com/equities/anexo-group-ratios,,,,,
